NEPA #,Type,Project Name,Lead Office,Program,NEPA Status,Document/Map Name,Days Left,Fiscal Year,NOI Date,Decision Date,FONSI Date,Latitude,Longitude, url
DOI-BLM-CA-N020-2025-0019-EA,EA,2025 Applegate Integrated Weed Management Plan,Applegate FO,Vegetation,Public Review and Comment Period,2025 Applegate Integrated Weed Management Plan - Preliminary PEA.pdf,08/29/2025,2025,,,,41.47460229067071,-120.60544036046807,
DOI-BLM-ID-B020-2025-0002-EA,EA,2025 Bruneau Field Office Competitive Geothermal Lease Sale,Bruneau FO,Renewable Energy,Public Review and Comment Period,2025 Bruneau Geothermal Leasing EA.pdf,08/29/2025,2025,,,,42.473228343453876,-116.12257368081671,https://eplanning.blm.gov/eplanning-ui/project/2035812/510
DOI-BLM-WY-0000-2025-0001-EA,EA,2025 Third Quarter Competitive Oil & Gas Lease Sale,State Office - WY,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Analysis & Document Preparation,2025-09.20250707.1419.WSO.921.Draft FONSI.pdf,08/07/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2036327/510 
DOI-BLM-WY-0000-2025-0001-EA,EA,2025 Third Quarter Competitive Oil & Gas Lease Sale,State Office - WY,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Analysis & Document Preparation,2025-09.20250707.1421.WSO.921.Draft EA.pdf,08/07/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2036327/510
DOI-BLM-ID-T000-2025-0001-EA,EA,2025 Twin Falls District Competitive Geothermal Lease Sale,Twin Falls DO,Renewable Energy,Public Review and Comment Period,2025 Twin Falls District Geothermal Lease Sale EA - DRAFT 508.pdf,08/29/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2039014/510
DOI-BLM-ID-T000-2025-0001-EA,EA,2025 Twin Falls District Competitive Geothermal Lease Sale,Twin Falls DO,Renewable Energy,Public Review and Comment Period,FONSI Geothermal-unsigned 508.pdf,08/29/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2039014/510
DOI-BLM-WY-0000-2025-0003-EA,EA,2026 First Quarter Competitive Oil and Gas Lease Sale,State Office - WY,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Preparation and Planning,2026-03 Soping Parcels Map.pdf,08/07/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2039360/510
DOI-BLM-WY-0000-2025-0003-EA,EA,2026 First Quarter Competitive Oil and Gas Lease Sale,State Office - WY,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Preparation and Planning,2026-03 Preliminary Parcel List.pdf,08/07/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2039360/510
DOI-BLM-UT-0000-2025-0003-EA,EA,BLM Utah 2025 Fourth Quarter Competitive Oil and Gas Lease Sale Environmental Assessment,State Office - UT,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Preparation and Planning,2025 Quarter 4 Lease Sale DOI-BLM-UT-0000-2025-00003-EA.pdf,08/08/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2037591/510
DOI-BLM-CA-N020-2025-0018-EA,EA,Barnes Grade Recreation Area Management Plan,Applegate FO,Recreation and Visitor Services,Public Review and Comment Period,Barnes Grade Recreation Area Management Plan - Preliminary EA.pdf,08/29/2025,2025,,,,41.47460229067071,-120.60544036046807,https://eplanning.blm.gov/eplanning-ui/project/2039648/510
DOI-BLM-UT-C020-2025-0025-EA,EA,Beas Lewis Flat Campground,Richfield FO,Recreation and Visitor Services,Public Scoping Period,Beas Lewis Flat Campground-Public Scoping Document.pdf,08/14/2025,2025,,,,38.53458456897201,-111.30638538335316,https://eplanning.blm.gov/eplanning-ui/project/2039774/510
DOI-BLM-WY-P070-2025-0085-RMP-EA,RMP Amendment - EA,Buffalo RMP Amendment EA,Buffalo FO,null,Public Scoping Period,NOI_Published.pdf,08/07/2025,2025,07/08/2025,,,44.29230576463578,-106.2178408846448,https://eplanning.blm.gov/eplanning-ui/project/2039033/510
DOI-BLM-CA-C080-2025-0017-CX,CX,CACA106736767 Suter New Road ROW,Mother Lode FO,Lands and Realty,Public Review and Comment Period,CACA106736767_Suter_CX_508c.pdf,08/11/2025,2025,,,,38.292767712691976,-120.62853054970464,https://eplanning.blm.gov/eplanning-ui/project/2039402/510
DOI-BLM-CA-C080-2025-0018-CX,CX,CACA106738145 Martinez Road and Underground Water Pipeline ROW,Mother Lode FO,Lands and Realty,Public Review and Comment Period,CACA106738145_Martinez_ROW_CX_508c.pdf,08/11/2025,2025,,,,38.292767712691976,-120.62853054970464,https://eplanning.blm.gov/eplanning-ui/project/2039404/510
DOI-BLM-NV-B010-2025-0006-EA,EA,Callaghan Complex Herd Management Area Plan and Gather Plan,Mount Lewis FO,Wild Horses and Burros,Public Review and Comment Period,DRAFT_EA_CallaghanComplex.docx,09/03/2025,2025,,,,39.65130613350458,-116.79284934092983,https://eplanning.blm.gov/eplanning-ui/project/2037072/510
DOI-BLM-Eastern States-M000-2024-0007-EA,EA,"Doe Run Company Plan of Operation Approval Project, Proposed Mine Plan Modifications",Northeastern States DO,Mining,Public Review and Comment Period,Draft EA_DoeRunPlanOfOperationsApproval_w all Appendices.pdf,09/02/2025,2024,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2032346
DOI-BLM-AK-F030-2025-0024-EA,EA,GWSN Ventures LLC Plan of Operations Modification along Chapman,Central Yukon FO,Mining,Analysis & Document Preparation,Proposed Action for ePlanning.pdf,08/21/2025,2025,,,,66.03384447612417,-152.01321321757678,https://eplanning.blm.gov/eplanning-ui/project/2039653/510
DOI-BLM-UT-C010-2025-0015-EA,EA,Gold Springs Historic Property Protection,Cedar City FO,Cultural-Historical-Native American Resources,Public Review and Comment Period,2025-07-07 Gold Springs Historic Properties Protection.pdf,08/06/2025,2025,,,,38.07979876495248,-113.26894701409627,https://eplanning.blm.gov/eplanning-ui/project/2036201/510
DOI-BLM-CA-C080-2025-0020-EA,EA,Granite Springs Allotment Grazing Use EA,Mother Lode FO,Livestock Grazing,Analysis & Document Preparation,Granite Springs Allotment Grazing Use_508c.pdf,08/06/2025,2025,,,,38.292767712691976,-120.62853054970464,https://eplanning.blm.gov/eplanning-ui/project/2039556/510
DOI-BLM-CA-C080-2025-0020-EA,EA,Granite Springs Allotment Grazing Use EA,Mother Lode FO,Livestock Grazing,Analysis & Document Preparation,Granite Springs Allotment_aerial.pdf,08/06/2025,2025,,,,38.292767712691976,-120.62853054970464,https://eplanning.blm.gov/eplanning-ui/project/2039556/510
DOI-BLM-UT-G020-2025-0019-EA,EA,Green River Classic Event Amendment,Price FO,Recreation and Visitor Services,Analysis & Document Preparation,GRC Amendment EA-FORCOMMENT.pdf,08/15/2025,2025,,,,39.1605974438436,-110.67355904355794,https://eplanning.blm.gov/eplanning-ui/project/2039134/510
DOI-BLM-ORWA-V000-2023-0058-EA,EA,Idaho Power - SpraKil SK-26,Vale DO,Lands and Realty,Public Review and Comment Period,IPC_DRAFT_EA_7.17.25.pdf,08/07/2025,2023,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2026660/510
DOI-BLM-ORWA-V000-2023-0058-EA,EA,Idaho Power - SpraKil SK-26,Vale DO,Lands and Realty,Public Review and Comment Period,IPC_FONSI_7.17.25.pdf,08/07/2025,2023,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2026660/510
DOI-BLM-ORWA-M050-2025-0006-DNA,DNA,Long Ferry Fuels Reduction Project,Butte Falls FO,Wildland Fire Management,Analysis & Document Preparation,Submissions Outside of Public Scoping or Comment Periods (1).pdf,08/31/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2038071/510
DOI-BLM-NV-L060-2025-0016-EA,EA,March 2026 Oil and Gas Lease Sale,Bristlecone FO,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Public Scoping Period,EYDO March 2026 Oil and Gas Lease Sale Preliminary Parcel List.pdf,09/03/2025,2025,,,,39.309413463974685,-115.01469890475815,https://eplanning.blm.gov/eplanning-ui/project/2039811/510
DOI-BLM-Eastern States-M000-2025-0002-EA,EA,Meadowood Sensory Nature Trail,Northeastern States DO,Recreation and Visitor Services,Public Review and Comment Period,Meadowood Sensory Nature Trail_Draft FONSI_20250714.pdf,08/27/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2036345
DOI-BLM-Eastern States-M000-2025-0002-EA,EA,Meadowood Sensory Nature Trail,Northeastern States DO,Recreation and Visitor Services,Public Review and Comment Period,Meadowood Sensory Nature Trail_EA_Final DRAFT_20250714.pdf,08/27/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2036345
DOI-BLM-CA-N030-2025-0011-EA,EA,Mike Thompson Wildlife Area South Spit Humboldt Bay Western Snowy Plover Habitat Restoration Area Expansion,Arcata FO,Fish and Wildlife,Public Review and Comment Period,South Spit Snowy Plover HRA Expansion EA Final Draft.pdf,08/13/2025,2025,,,,40.54640935936899,-123.70193135172806,https://eplanning.blm.gov/eplanning-ui/project/2039283/510
DOI-BLM-MT-C020-2025-0116-RMP-EA,RMP Amendment - EA,Miles City RMP Potential Amendment EA,Miles City FO,null,Public Scoping Period,MCFO Scoping NOI_07082025_12673.pdf,08/07/2025,2025,07/07/2025,,,46.88689431936829,-105.65010175564342,https://eplanning.blm.gov/eplanning-ui/project/2039051
DOI-BLM-UT-C010-2025-0005-EA,EA,Modena Mine,Cedar City FO,Mining,Public Review and Comment Period,DRAFT EA Modena Mine.pdf,08/19/2025,2025,,,,38.07979876495248,-113.26894701409627,https://eplanning.blm.gov/eplanning-ui/project/2035116
DOI-BLM-MT-0000-2025-0001-EA,EA,Montana-Dakotas Q3 September 2025 Oil and Gas Lease Sale,State Office - MT,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Decision and Protest Period,Draft Q3 September 2025 Lease Sale FONSI.pdf,08/08/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2035530/510
DOI-BLM-AK-F030-2025-0023-EA,EA,"Nathan Brett Plan of Operations in the Nolan Valley near Wiseman, Alaska",Central Yukon FO,Mining,Analysis & Document Preparation,Proposed Action.pdf,08/15/2025,2025,,,,66.03384447612417,-152.01321321757678,https://eplanning.blm.gov/eplanning-ui/project/2039586/510
DOI-BLM-NM-P020-2025-1118-EA,EA,Nimitz MDP1 13-1 Fed Com Multi-well APD Project,Carlsbad FO,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Public Review and Comment Period,EA DRAFT-Nimitz MDP1 13-1 Fed Com Multi-well.pdf,08/26/2025,2025,,,,32.65746406441593,-104.00007520768645,https://eplanning.blm.gov/eplanning-ui/project/2038564/510
DOI-BLM-CA-D050-2025-0009-EA,EA,Persistence Mine Plan of Operations - Gold Discovery Group,Ridgecrest FO,Mining,Public Review and Comment Period,Draft EA Persistence Mine Project_508.pdf,09/02/2025,2025,,,,35.92082775561904,-117.55236369754964,https://eplanning.blm.gov/eplanning-ui/project/2039577/510
DOI-BLM-CA-D050-2025-0009-EA,EA,Persistence Mine Plan of Operations - Gold Discovery Group,Ridgecrest FO,Mining,Public Review and Comment Period,GDG Persistence Mine Plan 2025-07-29_508.pdf,09/02/2025,2025,,,,35.92082775561904,-117.55236369754964,https://eplanning.blm.gov/eplanning-ui/project/2039577/510
DOI-BLM-UT-W020-2025-0017-DNA,DNA,Pretty in Pink Mine,Fillmore FO,Mining,Preparation and Planning,Pretty in Pink Plan of Operations_FINAL_7212025.pdf,08/29/2025,2025,,,,39.28355859561589,-112.99511867997393,https://eplanning.blm.gov/eplanning-ui/project/2039717/510
DOI-BLM-NV-S020-2025-0004-EA,EA,Programmatic Environmental Assessment for Special Recreation Permits Management in the Core Area of Red Rock Canyon National Conservation Area,Red Rock - Sloan Canyon NCA FO,Recreation and Visitor Services,Public Review and Comment Period,DOI-BLM-NV-S020-2025-0004-EA_508.pdf,08/18/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2035668
DOI-BLM-NM-P020-2025-1005-EA,EA,Q1 2026 Competitive Oil and Gas Lease Sale - Carlsbad Field Office,Carlsbad FO,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Public Review and Comment Period,EA_CFO_Q1 2026_LeaseSale_PublicComment_508.pdf,09/02/2025,2025,,,,32.65746406441593,-104.00007520768645,https://eplanning.blm.gov/eplanning-ui/project/2038163
DOI-BLM-NM-F010-2025-0033-EA,EA,Q1 2026 Competitive Oil and Gas Lease Sale - Farmington Field Office,Farmington FO,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Public Review and Comment Period,EA_FFO_Q1 2026_LeaseSale_PublicComment_508.pdf,09/02/2025,2025,,,,36.2450113223385,-108.01759700459685,https://eplanning.blm.gov/eplanning-ui/project/2038161/510
DOI-BLM-NM-0040-2025-0043-EA,EA,Q1 2026 Competitive Oil and Gas Lease Sale - Oklahoma Field Office,Oklahoma FO,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Public Review and Comment Period,EA_OFO_Q1 2026_LeaseSale_PublicComment_508.pdf,09/02/2025,2025,,,,33.609426282732905,-98.81567103423909,https://eplanning.blm.gov/eplanning-ui/project/2038162
DOI-BLM-ORWA-C040-2025-0005-CX,CX,Reciprocal Right-of-way C-354A (Amendment No. 2),Myrtlewood FO,Lands and Realty,Decision and Appeal Period,2025_07_18_CX_C354A_Amendment_2_vjl.pdf,08/18/2025,2025,,07/18/2025,,,,https://eplanning.blm.gov/eplanning-ui/project/2039354/510
DOI-BLM-CO-0000-2025-0001-EA,EA,September 2025 Competitive Oil and Gas Lease Sale,State Office - CO,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Decision and Protest Period,Q3_2025_BLM_CO_OG_LeaseSaleEA_Protest.pdf,08/06/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2034957
DOI-BLM-MT-B070-2025-0045-CX,CX,Soap Gulch Road Maintenance CX,Butte FO,Facilities Management,Decision and Appeal Period,CX_Soap Gulch Road Maintenance CX_20250630.pdf,08/14/2025,2025,,07/14/2025,,46.14982902983811,-111.69841566282336,https://eplanning.blm.gov/eplanning-ui/project/2039334
DOI-BLM-MT-C010-2025-0014-CX,CX,Stanley Creek Acquisition,Billings FO,Lands and Realty,Public Scoping Period,Stanley_Creek_DR_PC.pdf,09/05/2025,2025,,,,45.83420305751811,-108.73659615795243,https://eplanning.blm.gov/eplanning-ui/project/2039875/510
DOI-BLM-MT-C010-2025-0014-CX,CX,Stanley Creek Acquisition,Billings FO,Lands and Realty,Public Scoping Period,1842-001_Stanley Creek Appeal Doc.pdf,09/05/2025,2025,,,,45.83420305751811,-108.73659615795243,https://eplanning.blm.gov/eplanning-ui/project/2039875/510
DOI-BLM-CA-C080-2025-0019-CX,CX,Todds Valley Land Use Permit Amendment,Mother Lode FO,Lands and Realty,Public Review and Comment Period,Todds Valley LUP Amendment CX_508c.pdf,08/11/2025,2025,,,,38.292767712691976,-120.62853054970464,https://eplanning.blm.gov/eplanning-ui/project/2039405/510
DOI-BLM-CA-C080-2025-0022-EA,EA,Turpin Allotment Fence Realignment Environmental Assessment,Mother Lode FO,Rangeland Management,Analysis & Document Preparation,Turpin Allotment Fence Reallignment EA_508c.pdf,08/06/2025,2025,,,,38.292767712691976,-120.62853054970464,https://eplanning.blm.gov/eplanning-ui/project/2039647
DOI-BLM-CA-C080-2025-0022-EA,EA,Turpin Allotment Fence Realignment Environmental Assessment,Mother Lode FO,Rangeland Management,Analysis & Document Preparation,Turpin Fence Realignment.pdf,08/06/2025,2025,,,,38.292767712691976,-120.62853054970464,https://eplanning.blm.gov/eplanning-ui/project/2039647
DOI-BLM-CA-N060-2025-0005-EA,EA,Weaver Creek Habitat Restoration Implementation,Redding FO,Fish and Wildlife,Public Review and Comment Period,draft-EA_WeaverCkHabRestoration_JUL2025_508c.pdf,08/19/2025,2025,,,,40.78863046896536,-122.45598132789239,https://eplanning.blm.gov/eplanning-ui/project/2036055/510
DOI-BLM-ID-C010-2025-0001-EA,EA,West Fork Pine Creek Route Structures,Coeur d`Alene FO,Recreation and Visitor Services,Public Scoping Period,UPDATED WFPC Route Structures EA for public comment-7-10-25.pdf,08/13/2025,2025,,,,47.85549889199878,-116.36677109371982,https://eplanning.blm.gov/eplanning-ui/project/2035309/510
